catalogNumber,recordedBy,occurrenceID,state,studySiteID
997a517d-3668-47fc-b1fc-9b9dba5b8afb,Bulk Import,395d7ec6-cd43-4562-a16f-226da9a3f0b3,approved,d4810c2f-6b06-4dfd-9212-85ceba97a7d0
aaf34bd6-f704-42ed-80ac-d8f1ce724316,Bulk Import,6b41286c-3ba0-4b15-b355-2922d90cc644,approved,d4810c2f-6b06-4dfd-9212-85ceba97a7d0
d5144742-c063-45ee-9ab4-cda5957a33e7,Bulk Import,6265cde1-922f-43f8-a9f0-14a640942620,approved,76f1b1af-14cb-407c-9d3f-eebbb77b697c
1fc3bc44-287a-41e5-bd86-d9e1f7ac7c52,Bulk Import,94a87c30-bb50-4b17-8770-8d2cd1fc9eb2,approved,b2b0bdb3-835a-4348-aa4d-49cb8535dd64
9c2cb222-0a6c-44df-a380-d7c61a8c820b,Bulk Import,23685ec2-add9-43d9-b290-31d69140de36,approved,6a2d39b6-761e-4f62-976a-70ec89f70518
75b1369b-c37a-4899-a56b-40b6f15b60c1,Bulk Import,fa8b7858-a7be-4aa3-b665-3f4472c6fe68,approved,ef64dc21-1f38-41db-bc92-469624e71bbe
d2e2398b-d8a2-47b0-a0a8-87925905b2e0,Bulk Import,NA,approved,ef64dc21-1f38-41db-bc92-469624e71bbe
a000e7b0-a58f-4b94-b71f-3484ade3b65e,Bulk Import,29ed5bd1-2352-4b89-a1b0-1db3624e7ab1,approved,3351b19c-a082-480e-b608-25ac09077af7
af45cf14-ece8-4ec3-b87b-c9c36d6ec53d,Bulk Import,NA,approved,3351b19c-a082-480e-b608-25ac09077af7
f087b184-fcd3-4eb5-9eef-3b06eacc24fe,Bulk Import,5bab3655-d950-4f55-a280-260905443d43,approved,41fd9ad9-fbc3-41ac-a4b0-b0c52b809a46
86d87c40-79de-49a0-a9e0-33a55b62e973,Bulk Import,ef6b7d3c-8d5b-4269-bbe4-50794cd4832f,approved,62bdd925-6fb4-4976-9794-82aca4e31a5e
de190444-79c8-48d7-8366-e12250bb318c,Bulk Import,d24944c2-97b1-4250-aee6-2010538924f2,approved,41fd9ad9-fbc3-41ac-a4b0-b0c52b809a46
f1b087ce-bc9d-44f4-8f4e-7bfb0efd5b64,Bulk Import,f7e658ec-0ee6-421f-ab8e-c80d0c41719c,approved,3351b19c-a082-480e-b608-25ac09077af7
f9c8499a-d50d-4977-8ac0-03a239faab64,Bulk Import,b053ebfa-a80d-4b89-acfb-b16acdf7abaf,approved,3351b19c-a082-480e-b608-25ac09077af7
2f8e61c1-c79b-4dad-9154-20be3f3d2f3a,Bulk Import,e08aa515-8f33-40d1-8166-1730bd8e9d21,approved,3351b19c-a082-480e-b608-25ac09077af7
db96f1b0-e339-4e7f-98f3-b4281bef8bae,Bulk Import,a9438bd1-f992-45d2-bd84-ec6210ad04fb,approved,ef64dc21-1f38-41db-bc92-469624e71bbe
d44cc21a-0a63-4f4a-bf8e-d8ed5ea53b11,Bulk Import,731e8a07-53d0-45c2-83f1-d3a11ba44887,approved,2695e0d6-2bbb-407a-babd-3bb919a52e1a
6166b11d-8df3-48c9-9442-54706ad690b7,Bulk Import,4b9c520b-a0b5-470a-bac1-f469ea3217ba,approved,2695e0d6-2bbb-407a-babd-3bb919a52e1a
